N/A,Pinyin,Definition,Radical,stroke_count,hsk_level,id_in_standard_specification,frequency_rank,converted_pinyin,raw_pinyin
巴,bā,greatly desire/anxiously hope,己,4,5,178,546.0,ba1,ba
防,fáng,defend/prevent/embankment,阜,6,5,576,548.0,fang2,fang
施,shī,grant/bestow/give/act/name,方,9,5,1634,553.0,shi1,shi
型,xíng,pattern/model/type/law/mold,土,9,5,1363,556.0,xing2,xing
依,yī,rely on/be set in/consent/obey a wish,人,8,5,1153,568.0,yi1,yi
群,qún,(same as 羣) group/crowd/multitude/mob,羊,13,5,3035,570.0,qun2,qun
项,xiàng,neck/nape of neck/sum/funds,頁,9,5,1370,571.0,xiang4,xiang
织,zhī,weave/knit/organize/unite,糸,8,5,1342,578.0,zhi1,zhi
斗,dòu,Chinese peck/liquid measure,斗,4,5,166,580.0,dou3,dou
采,cǎi,collect/gather/pick/pluck,釆,8,5,1172,585.0,cai3,cai
杀,shā,kill/slaughter/murder/hurt,木,6,5,487,587.0,sha1,sha
朝,cháo,dynasty/morning,月,12,5,2559,593.0,zhao1,zhao
属,shǔ,class/category/type/belong to,尸,12,5,2800,610.0,shu3,shu
限,xiàn,boundary/limit/line,阜,8,5,1323,613.0,xian4,xian
威,wēi,pomp/power/powerful/dominate,女,9,5,1444,622.0,wei1,wei
状,zhuàng,form/appearance/shape/official,犬,7,5,828,624.0,zhuang4,zhuang
率,lǜ,to lead/ratio/rate/limit,玄,11,5,2395,625.0,lv4,lu
独,dú,alone/single/solitary/only,犬,9,5,1602,627.0,du2,du
创,chuàng,establish/create/knife cut,刀,6,5,494,635.0,chuang4,chuang
承,chéng,inherit/receive/succeed,手,8,5,1315,639.0,cheng2,cheng
股,gǔ,thighs/haunches/rump/share,肉,8,5,1186,644.0,gu3,gu
益,yì,profit/benefit/advantage,皿,10,5,2055,649.0,yi4,yi
血,xuè,blood/radical number 143,血,6,5,479,658.0,xie3,xie
素,sù,white (silk)/plain/vegetarian/formerly/normally,糸,10,5,1775,661.0,su4,su
夜,yè,night/dark/in night/by night,夕,8,5,1209,665.0,ye4,ye
初,chū,beginning/initial/primary,刀,7,5,889,667.0,chu1,chu
源,yuán,spring/source/head/surname,水,13,5,3008,670.0,yuan2,yuan
食,shí,eat/meal/food/KangXi radical number 184,食,9,5,1589,671.0,shi2,shi
待,dài,treat/entertain/receive/wait,彳,9,5,1580,673.0,dai4,dai
述,shù,narrate/state/express,辵,8,5,1032,674.0,shu4,shu
陆,lù,land/continental/army,阜,7,5,912,675.0,lu4,lu
置,zhì,place/lay out/set aside,网,13,5,2931,677.0,zhi4,zhi
劳,láo,labor/toil/do manual work,力,7,5,674,679.0,lao2,lao
财,cái,wealth/valuables/riches,貝,7,5,756,680.0,cai2,cai
纳,nà,admit/take/receive/accept,糸,7,5,934,684.0,na4,na
雷,léi,thunder,雨,13,5,2884,686.0,lei2,lei
模,mó,model/standard/pattern/copy,木,14,5,3078,689.0,mo2,mo
充,chōng,fill/be full/supply,儿,6,5,525,690.0,chong1,chong
木,mù,tree/wood/lumber/wooden,木,4,5,87,694.0,mu4,mu
龙,lóng,dragon/symbolic of emperor,龍,5,5,221,696.0,long2,long
冲,chōng,soar/pour boiling water over,冫,6,5,511,702.0,chong1,chong
射,shè,shoot/eject/issue forth/emit,寸,10,5,1971,703.0,she4,she
略,lüè,approximately/roughly/outline,田,11,5,2277,704.0,lve4,lue
范,fàn,surname/bee-like insect,艸,8 9,5,1010,705.0,fan4,fan
村,cūn,village/hamlet/uncouth/vulgar,木,7,5,682,712.0,cun1,cun
哈,hā,sound of laughter,口,9,5,1510,713.0,ha1,ha
退,tuì,step back/retreat/withdraw,辵,9,5,1720,723.0,tui4,tui
余,yú,I/my/me/surname/surplus,人,7,5,795,729.0,yu2,yu
痛,tòng,pain/ache/sorry/sad/bitter,疒,12,5,2734,730.0,tong4,tong
灵,líng,spirit/soul/spiritual world,彐,7,5,900,734.0,ling2,ling
配,pèi,match/pair/equal/blend,酉,10,5,1858,738.0,pei4,pei
征,zhēng,invade/attack/conquer,彳,8,5,1159,739.0,zheng1,zheng
挥,huī,direct/wipe away/squander,手,9,5,1396,742.0,hui1,hui
胜,shèng,victory/excel/be better than,肉,9,5,1594,743.0,sheng4,sheng
阶,jiē,stairs/steps/rank/degree,阜,6,5,574,745.0,jie1,jie
沉,chén,sink/submerge/addicted to,水,7,5,871,747.0,chen2,chen
善,shàn,good/virtuous/charitable/kind,口,12,5,2738,749.0,shan4,shan
执,zhí,hold in hand/keep/carry out,手,6,5,363,763.0,zhi2,zhi
追,zhuī,pursue/chase after/expel,辵,9,5,1577,768.0,zhui1,zhui
宣,xuān,declare/announce/proclaim,宀,9,5,1695,770.0,xuan1,xuan
佛,fú,Buddha/of Buddhism/merciful person/Buddhist image/the dead (Jap.),人,7,5,789,771.0,fo2,fo
控,kòng,accuse/charge/control,手,11,5,2187,780.0,kong4,kong
税,shuì,taxes,禾,12,5,2679,781.0,shui4,shui
背,bèi,back/back side/behind/betray,肉,9,5,1467,787.0,bei4,bei
阵,zhèn,column/row or file of troops,阜,6,5,571,788.0,zhen4,zhen
恶,è,evil/wicked/bad/foul,心,10,5,1829,792.0,e4,e
顿,dùn,pause/stop/bow/kowtow/arrange,頁,10,5,1877,794.0,dun4,dun
守,shǒu,defend/protect/guard/conserve,宀,6,5,546,796.0,shou3,shou
岛,dǎo,island,山,7,5,820,798.0,dao3,dao
托,tuō,to hold up with palm/to support/rely on,手,6,5,359,799.0,tuo1,tuo
烈,liè,fiery/violent/vehement/ardent,火,10,5,1871,802.0,lie4,lie
索,suǒ,large rope/cable/rules/laws/to demand/to exact/to search/inquire/isolated,糸,10,5,1851,805.0,suo3,suo
胡,hú,recklessly/foolishly/wildly,肉,9,5,1419,806.0,hu2,hu
靠,kào,lean on/trust/depend on/near,非,15,5,3259,808.0,kao4,kao
版,bǎn,printing blocks/edition,片,8,5,1143,810.0,ban3,ban
宝,bǎo,treasure/jewel/precious/rare,宀,8,5,1274,811.0,bao3,bao
欧,ōu,translit.: Europe/ohm/surname,欠,8,5,1053,823.0,ou1,ou
核,hé,seed/kernel/core/nut/atom,木,10,5,1848,828.0,he2,he
暗,àn,dark/obscure/in secret/covert,日,13,5,2909,829.0,an4,an
良,liáng,good/virtuous/respectable,艮,7,5,884,835.0,liang2,liang
升,shēng,arise/go up/hoist/advance,十,4,5,125,837.0,sheng1,sheng
临,lín,draw near/approach/descend,丨,9,5,1471,839.0,lin2,lin
架,jià,rack/stand/prop/prop up,木,9,5,1743,846.0,jia4,jia
域,yù,district/region/boundary/land,土,11,5,2164,847.0,yu4,yu
括,kuò,include/embrace/enclose,手,9,5,1383,850.0,kuo4,gua
编,biān,knit/weave/arrange/compile,糸,12,5,2822,858.0,bian1,bian
测,cè,measure/estimate/conjecture,水,9,5,1670,861.0,ce4,ce
屋,wū,house/room/building/shelter,尸,9,5,1722,863.0,wu1,wu
渐,jiàn,gradually,水,11,5,2417,870.0,jian4,jian
救,jiù,save/rescue/relieve/help/aid,攴,11,5,2232,872.0,jiu4,jiu
枪,qiāng,spear/lance/gun/rifle,木,8,5,1027,874.0,qiang1,qiang
县,xiàn,county/district/subdivision,厶,7,5,720,877.0,xian4,xian
尚,shàng,still/yet/even/fairly/rather,小,8,5,1075,878.0,shang4,shang
毫,háo,fine hair/measure of length,毛,11,5,2376,879.0,hao2,hao
移,yí,change place/shift/move about,禾,11,5,2316,880.0,yi2,yi
娘,niáng,mother/young girl/woman/wife,女,10,5,2144,881.0,niang2,niang
智,zhì,wisdom/knowledge/intelligence,日,12,5,2670,885.0,zhi4,zhi
掌,zhǎng,palm of hand/sole of foot/paw,手,12,5,2610,890.0,zhang3,zhang
遗,yí,lose/articles lost/omit,辵,12,5,2633,892.0,yi2,yi
固,gù,to become solid/solidify/strength,囗,8,5,1093,893.0,gu4,gu
席,xí,seat/mat/take seat/banquet,巾,10,5,2023,894.0,xi2,xi
秘,mì,secret/mysterious/abstruse,禾,10,5,1949,896.0,mi4,mi
均,jūn,equal/even/fair/all/also,土,7,5,640,903.0,jun1,jun
销,xiāo,melt/fuse/market/sell,金,12,5,2659,904.0,xiao1,xiao
诗,shī,poetry/poem/verse/ode,言,8,5,1288,906.0,shi1,shi
藏,cáng,hide/conceal/hoard/store up,艸,17,5,3392,907.0,cang2,cang
损,sǔn,diminish/impair/injure,手,10,5,1798,911.0,sun3,sun
忽,hū,suddenly/abruptly/neglect,心,8,5,1197,912.0,hu1,hu
巨,jù,large/great/enormous/chief,工,4,5,101,913.0,ju4,ju
炮,pào,large gun/cannon/artillery,火,9,5,1658,914.0,pao4,pao
录,lù,copy/write down/record,彐,8,5,1304,919.0,lu4,lu
乡,xiāng,country/rural/village,幺,3,5,73,922.0,xiang1,xiang
庭,tíng,courtyard/spacious hall or yard,广,9,5,1624,931.0,ting2,ting
妇,fù,married women/woman/wife,女,6,5,579,932.0,fu4,fu
归,guī,return/return to/revert to,彐,5,5,234,933.0,gui1,gui
含,hán,hold in mouth/cherish/contain,口,7,5,800,937.0,han2,han
摇,yáo,wag/swing/wave/shake/scull,手,13,5,2841,940.0,yao2,yao
补,bǔ,mend/patch/fix/repair/restore,衣,7,5,888,944.0,bu3,bu
谓,wèi,say/tell/call/name/be called,言,11,5,2466,945.0,wei4,wei
毒,dú,poison/venom/poisonous,毋,9,5,1362,947.0,du2,du
疗,liáo,be healed/cured/recover,疒,7,5,834,949.0,liao2,liao
逐,zhú,chase/expel/one by one,辵,10,5,1870,954.0,zhu2,zhu
寻,xún,seek/search/look for/ancient,彐,6,5,563,962.0,xun2,xun
厂,chǎng,factory/workshop/radical 27,厂,2,5,6,963.0,chang3,han
岸,àn,bank/shore/beach/coast,山,8,5,1105,971.0,an4,an
炸,zhà,to fry in oil/to scald/to explode,火,9,5,1656,976.0,zha4,zha
载,zài,load/carry/transport/convey,戈,10,5,1787,977.0,zai4,zai
避,bì,avoid/turn aside/escape/hide,辵,16,5,3385,991.0,bi4,bi
抓,zhuā,scratch/clutch/seize/grab,手,7,5,633,992.0,zhua1,zhua
荣,róng,glory/honor/flourish/prosper,艸,9,5,1415,993.0,rong2,rong
姑,gū,,女,8,5,1325,994.0,gu1,gu
逃,táo,escape/flee/abscond/dodge,辵,9,5,1588,996.0,tao2,tao
顶,dǐng,top/summit/peak/to carry on the head,頁,8,5,971,1000.0,ding3,ding
玉,yù,jade/precious stone/gem,玉,5,5,190,1001.0,yu4,yu
迫,pò,coerce/force/compel/urgent,辵,8,5,1156,1006.0,po4,po
洞,dòng,cave/grotto/ravine/hole,水,9,5,1669,1015.0,dong4,dong
卷,juǎn,scroll/curl/make a comeback,卩,8,5,1231,1016.0,juan4,juan
坦,tǎn,flat/smooth/self-possessed,土,8,5,962,1017.0,tan3,tan
宁,níng,calm/peaceful/serene/healthy,宀,5,5,312,1019.0,ning2,zhu
训,xùn,teach/instruct/exegesis,言,5,5,319,1022.0,xun4,xun
私,sī,private/personal/secret,禾,7,5,766,1023.0,si1,si
丝,sī,silk/fine thread/wire/strings,一,5,5,347,1026.0,si1,si
握,wò,grasp/hold fast/take by hand,手,12,5,2538,1032.0,wo4,wo
骨,gǔ,bone/skeleton/frame/framework,骨,9,5,1523,1036.0,gu3,gu
访,fǎng,visit/ask/inquire,言,6,5,561,1037.0,fang3,fang
弱,ruò,weak/fragile/delicate,弓,10,5,2134,1038.0,ruo4,ruo
鬼,guǐ,ghost/spirit of dead/devil,鬼,9,5,1573,1042.0,gui3,gui
软,ruǎn,soft/flexible/pliable/weak,車,8,5,1062,1043.0,ruan3,ruan
扩,kuò,expand/enlarge/stretch,手,6,5,364,1051.0,kuo4,kuo
盖,gài,cover/hide/protect,皿,11,5,2400,1052.0,gai4,gai
雄,xióng,male of species/hero/manly,隹,12,5,2596,1054.0,xiong2,xiong
稳,wěn,stable/firm/solid/steady,禾,14,5,3118,1055.0,wen3,wen
亿,yì,hundred million/many,人,3,5,44,1057.0,yi4,yi
刺,cì,stab/prick/irritate/prod,刀,8,5,1039,1058.0,ci4,ci
拥,yōng,embrace/hug/squeeze/crowd,手,8,5,974,1059.0,yong3,yong
齐,qí,even/uniform/of equal length,齊,6,5,518,1063.0,qi2,qi
虚,xū,false,虍,11,5,2253,1071.0,xu1,xu
析,xī,split wood/break apart/divide,木,8,5,1024,1073.0,xi1,xi
透,tòu,penetrate/pass through,辵,10,5,1950,1077.0,tou4,tou
替,tì,change/replace/substitute for,曰,12,5,2506,1079.0,ti4,ti
途,tú,way/road/path/journey/course,辵,10,5,1982,1085.0,tu2,tu
兄,xiōng,elder brother,儿,5,5,250,1089.0,xiong1,xiong
迅,xùn,quick/hasty/rapid/sudden,辵,6,5,565,1090.0,xun4,xun
套,tào,case/cover/wrapper/envelope,大,10,5,1869,1091.0,tao4,tao
贸,mào,trade/barter/mixed/rashly,貝,9,5,1607,1092.0,mao4,mao
唯,wéi,only/yes,口,11,5,2288,1094.0,wei2,wei
轮,lún,wheel/revolve/turn/recur,車,8,5,1061,1096.0,lun2,lun
库,kù,armory/treasury/storehouse,广,7,5,832,1097.0,ku4,ku
迹,jī,traces/impressions/footprints,辵,9,5,1623,1098.0,ji1,ji
促,cù,urge/press/hurry/close,人,9,5,1563,1102.0,cu4,cu
延,yán,delay/postpone/defer,廴,6,5,464,1103.0,yan2,yan
震,zhèn,shake/quake/tremor/excite,雨,15,5,3229,1104.0,zhen4,zhen
甲,jiǎ,armor/shell/fingernails/1st heavenly stem,田,5,5,239,1106.0,jia3,jia
伟,wěi,great/robust/extraordinary,人,6,5,454,1107.0,wei3,wei
缓,huǎn,slow/leisurely/to postpone/delay,糸,12,5,2818,1111.0,huan3,huan
闪,shǎn,flash/avoid/dodge/evade,門,5,5,305,1113.0,shan3,shan
哲,zhé,wise/sagacious/wise man/sage,口,10,5,1802,1117.0,zhe2,zhe
络,luò,enmesh/wrap around/web/net,糸,9,5,1761,1118.0,luo4,luo
纯,chún,pure/clean/simple,糸,7,5,931,1125.0,chun2,chun
忍,rěn,endure/bear/suffer/forbear,心,7,5,925,1127.0,ren3,ren
筑,zhù,ancient lute/build,竹,12,5,2682,1130.0,zhu2,zhu
贝,bèi,sea shell/money/currency,貝,4,5,114,1133.0,bei4,bei
振,zhèn,raise/excite/arouse action,手,10,5,1786,1140.0,zhen4,zhen
圆,yuán,circle/round/circular/complete,囗,10,5,1922,1145.0,yuan2,yuan
搞,gǎo,to clear/clarify,手,13,5,2842,1146.0,gao3,gao
狂,kuáng,insane/mad/violent/wild,犬,7,5,811,1147.0,kuang2,kuang
措,cuò,place/collect/arrange/employ,手,11,5,2162,1148.0,cuo4,cuo
培,péi,bank up with dirt/cultivate,土,11,5,2184,1152.0,pei2,pei
宽,kuān,broad/wide/spacious/vast,宀,10,5,2098,1155.0,kuan1,kuan
摆,bǎi,put/place/display/swing/sway,手,13,5,2838,1158.0,bai3,bai
伸,shēn,extend/stretch out/open up/trust,人,7,5,775,1161.0,shen1,shen
摩,mó,rub/scour/grind/friction,手,15,5,3279,1162.0,mo2,mo
悲,bēi,sorrow/grief/sorry/sad,心,12,5,2603,1166.0,bei1,bei
拍,pāi,clap/tap/beat/beat or rhythm,手,8,5,970,1167.0,pai1,pai
硬,yìng,hard/firm/strong/obstinate,石,12,5,2589,1170.0,ying4,ying
麦,mài,wheat/barley/oats/simplified form of KangXi radical number 199,麥,7,5,601,1171.0,mai4,mai
操,cāo,conduct/run/control/manage,手,16,5,3317,1173.0,cao1,cao
阻,zǔ,impede/hinder/obstruct/oppose,阜,7,5,915,1175.0,zu3,zu
订,dìng,draw up agreement/arrange,言,4,5,169,1176.0,ding4,ding
赞,zàn,help/support/assist/aid,貝,16,5,3355,1179.0,zan4,zan
纷,fēn,in disorder/scattered/tangled,糸,7,5,937,1181.0,fen1,fen
喊,hǎn,shout/call out/yell/howl/cry,口,12,5,2623,1183.0,han3,han
违,wéi,disobey/violate/defy/be apart from,辵,7,5,609,1184.0,wei2,wei
汇,huì,concourse/flow together/gather,水,5,5,309,1187.0,hui4,hui
币,bì,currency/coins/legal tender,巾,4,5,134,1188.0,bi4,bi
殊,shū,different/special/unusual,歹,10,5,1872,1191.0,shu1,shu
献,xiàn,offer/present/show/display,犬,13,5,2861,1192.0,xian4,xian
裁,cái,cut out/decrease,衣,12,5,2532,1203.0,cai2,cai
触,chù,butt/ram/gore/touch,角,13,5,2980,1207.0,hong2,hong
敬,jìng,respect/honor/respectfully,攴,12,5,2553,1209.0,jing4,jing
墙,qiáng,wall,土,14,5,3054,1212.0,qiang2,qiang
召,zhào,imperial decree/summon,口,5,5,334,1214.0,zhao4,zhao
罚,fá,penalty/fine/punish/penalize,网,9,5,1519,1215.0,fa2,fa
享,xiǎng,enjoy,亠,8,5,1206,1227.0,xiang3,xiang
犹,yóu,like/similar to/just like/as,犬,7,5,812,1230.0,you2,you
彻,chè,penetrate/pervade/penetrating,彳,7,5,792,1240.0,che4,che
描,miáo,copy/trace/sketch/depict,手,11,5,2163,1246.0,miao2,miao
妙,miào,mysterious/subtle/exquisite,女,7,5,919,1250.0,miao4,miao
彼,bǐ,that/there/those,彳,8,5,1162,1256.0,bi3,bi
仿,fǎng,imitate/copy/as if,人,6,5,474,1259.0,fang3,fang
闭,bì,shut/close/obstruct/block up,門,6,5,527,1267.0,bi4,bi
庆,qìng,congratulate/celebrate,广,6,5,515,1269.0,qing4,qing
泪,lèi,tears/weep/cry,水,8,5,1246,1271.0,lei4,lei
朗,lǎng,clear/bright/distinct,月,10,5,2109,1276.0,lang3,lang
尾,wěi,tail/extremity/end/stern,尸,7,5,905,1282.0,wei3,wei
偷,tōu,to steal/burglar/thief,人,11,5,2330,1284.0,tou1,tou
虫,chóng,insects/worms/KangXi radical 142,虫,6,5,423,1287.0,chong2,chong
淡,dàn,weak/watery/insipid/tasteless,水,11,5,2430,1293.0,dan4,dan
恨,hèn,hatred/dislike/resent/hate,心,9,5,1692,1295.0,hen4,hen
繁,fán,complicated/complex/difficult,糸,17,5,3419,1296.0,fan2,fan
伴,bàn,companion/comrade/partner/accompany,人,7,5,785,1298.0,ban4,ban
旦,dàn,dawn/morning/day,日,5,5,235,1300.0,dan4,dan
潮,cháo,tide/moist/wet/damp/flow,水,15,5,3292,1302.0,chao2,chao
粮,liáng,food/grain/provisions,米,13,5,2998,1303.0,liang2,liang
缩,suō,contract/draw in/reduce,糸,14,5,3188,1304.0,suo1,suo
挑,tiāo,a load carried on the shoulders/to carry,手,9,5,1387,1309.0,tiao1,tiao
灰,huī,ashes/dust/lime/mortar,火,6,5,397,1311.0,hui1,hui
珍,zhēn,precious/valuable/rare,玉,9,5,1358,1314.0,zhen1,zhen
幕,mù,curtain/screen/tent,巾,13,5,2854,1315.0,mu4,mu
映,yìng,project/reflect light,日,9,5,1487,1316.0,ying4,ying
隔,gé,separate/partition,阜,12,5,2805,1319.0,ge2,ge
启,qǐ,open/begin/commence/explain,口,7,5,886,1320.0,qi3,qi
泛,fàn,to drift/float/careless/reckless,水,7,5,865,1327.0,fan4,fan
偿,cháng,repay/recompense/restitution,人,11,5,2327,1329.0,chang2,chang
呆,dāi,dull/dull-minded/simple/stupid,口,7,5,722,1338.0,dai1,ai
衡,héng,measure/weigh/judge/consider,行,16,5,3363,1340.0,heng2,heng
舍,shě,house/dwelling/dwell/reside,舌,8,5,1165,1344.0,she4,she
婆,pó,old woman/grandmother,女,11,5,2435,1347.0,po2,po
灾,zāi,calamity/disaster/catastrophe,火,7,5,883,1349.0,zai1,zai
胆,dǎn,gall bladder/bravery/courage,肉,9,5,1593,1352.0,dan3,dan
俗,sú,social customs/vulgar/unrefined,人,9,5,1568,1354.0,su2,su
辩,biàn,dispute/argue/debate/discuss,辛,16,5,3372,1355.0,bian4,bian
胸,xiōng,breast/bosom/chest/thorax,肉,10,5,1996,1356.0,xiong1,xiong
劲,jìn,strong/unyielding/tough/power,力,7,5,926,1358.0,jing4,jing
辑,jí,gather up/collect/edit/compile,車,13,5,2889,1362.0,ji2,ji
恢,huī,restore/big/great/immense/vast,心,9,5,1686,1364.0,hui1,hui
圈,quān,to circle/a circle/corral,囗,11,5,2302,1366.0,quan1,quan
摸,mō,gently touch with hand/caress,手,13,5,2833,1367.0,mo1,mo
润,rùn,soft/moist/sleek/freshen,水,10,5,2081,1369.0,run4,run
堆,duī,heap/pile/crowd/pile up,土,11,5,2173,1370.0,dui1,dui
碰,pèng,collide/bump into,石,13,5,2880,1371.0,peng4,peng
废,fèi,abrogate/terminate/discard,广,8,5,1220,1376.0,fei4,fei
壁,bì,partition wall/walls of a house,土,16,5,3384,1380.0,bi4,bi
吹,chuī,blow/puff/brag/boast,口,7,5,744,1390.0,chui1,chui
糊,hú,paste/stick on with paste,米,15,5,3287,1393.0,hu2,hu
盾,dùn,shield/shield-shaped object/currency sign for Dutch guilder,目,9,5,1579,1395.0,dun4,dun
乏,fá,lack/poor,丿,4,5,147,1399.0,fa2,fa
诊,zhěn,examine patient/diagnose,言,7,5,896,1401.0,zhen3,zhen
摄,shè,take in/absorb/act as deputy,手,13,5,2832,1403.0,she4,she
凭,píng,lean on/depend on/rely on,几,8,5,1148,1410.0,ping2,ping
抢,qiǎng,plunder/rob/take by force,手,7,5,637,1412.0,qiang3,qiang
绪,xù,end of thread/thread/clue,糸,11,5,2487,1413.0,xu4,xu
肩,jiān,shoulders/to shoulder/bear,肉,8,5,1289,1415.0,jian1,jian
幻,huàn,illusion/fantasy/mirage,幺,4,5,189,1417.0,huan4,huan
碎,suì,break/smash/broken/busted,石,13,5,2879,1420.0,sui4,sui
综,zōng,arrange threads for weaving,糸,11,5,2496,1425.0,zong4,zong
返,fǎn,return/revert to/restore,辵,7,5,794,1430.0,fan3,fan
薄,báo,thin/slight/weak/poor/stingy,艸,16,5,3326,1433.0,bo2,bo
悄,qiāo,silent/quiet/still/anxious,心,10,5,2092,1434.0,qiao3,qiao
敏,mǐn,fast/quick/clever/smart,攴,11,5,2323,1436.0,min3,min
碍,ài,obstruct/hinder/block/deter,石,13,5,2876,1437.0,ai4,ai
矛,máo,spear/lance/KangXi radical 110,矛,5,5,343,1441.0,mao2,mao
幅,fú,piece/strip/breadth of/hem,巾,12,5,2648,1444.0,fu2,fu
颗,kē,grain/kernel,頁,14,5,3100,1448.0,ke1,ke
骂,mà,accuse/blame/curse/scold,口,9,5,1505,1449.0,ma4,ma
赏,shǎng,reward/grant/bestow/appreciate,貝,12,5,2609,1450.0,shang3,shang
贴,tiē,paste to/stick on/attached to,貝,9,5,1521,1454.0,tie1,tie
腰,yāo,waist/kidney,肉,13,5,2969,1458.0,yao1,yao
眉,méi,eyebrows/upper margin of book,目,9,5,1729,1460.0,mei2,mei
恋,liàn,love/long for/yearn for/love,心,10,5,2016,1464.0,lian4,lian
吓,xià,scare/frighten/intimidate,口,6,5,422,1466.0,xia4,xia
辞,cí,words/speech/expression/phrase,舌,13,5,2947,1469.0,ci2,ci
尺,chǐ,,尸,4,5,175,1474.0,chi3,chi
辈,bèi,generation/lifetime/class,非,12,5,2602,1477.0,bei4,bei
滑,huá,slip/slide/slippery/polished,水,12,5,2761,1480.0,hua2,hua
绕,rào,entwine/wind around/surround,糸,9,5,1755,1485.0,rao4,rao
趋,qū,hasten/hurry/be attracted to,走,12,5,2516,1486.0,qu1,qu
胁,xié,ribs/armpits/flank/threaten,肉,8,5,1191,1494.0,xie2,xie
插,chā,insert/stick into/plant,手,12,5,2526,1495.0,cha1,cha
慧,huì,bright/intelligent/intelligence,心,15,5,3189,1505.0,hui4,hui
媒,méi,go-between/matchmaker/medium,女,12,5,2808,1506.0,mei2,mei
佩,pèi,belt ornament/pendant/wear at waist/tie to the belt/respect,人,8,5,1150,1507.0,pei4,pei
豪,háo,brave/heroic/chivalrous,豕,14,5,3141,1513.0,hao2,hao
兼,jiān,unite/combine/connect/and,八,10,5,2056,1515.0,jian1,jian
跃,yuè,skip/jump/frolic,足,11,5,2276,1516.0,yue4,yue
肃,sù,pay respects/reverently,聿,8,5,1303,1518.0,su4,su
驶,shǐ,sail/drive/pilot/fast/quick,馬,8,5,1341,1520.0,shi3,shi
届,jiè,numerary adjunct for time/term,尸,8,5,1309,1522.0,jie4,jie
欣,xīn,happy/joyous/delighted,欠,8,5,1158,1523.0,xin1,xin
惠,huì,favor/benefit/confer kindness,心,12,5,2580,1524.0,hui4,hui
册,cè,book/volume/register/list,冂,5,5,290,1525.0,ce4,ce
飘,piāo,whirlwind/cyclone/floating,風,15,5,3221,1527.0,piao1,piao
闲,xián,fence/guard/defend/idle time,門,7,5,846,1529.0,xian2,xian
频,pín,frequently/again and again,頁,13,5,2892,1535.0,pin2,pin
递,dì,hand over/deliver/substitute,辵,10,5,2064,1538.0,di4,di
撞,zhuàng,knock against/bump into/collide,手,15,5,3202,1540.0,zhuang4,zhuang
滚,gǔn,turn,水,13,5,3015,1542.0,gun3,gun
贡,gòng,offer tribute/tribute/gifts,貝,7,5,627,1548.0,gong4,gong
疯,fēng,crazy/insane/mentally ill,疒,9,5,1626,1549.0,feng1,feng
瞧,qiáo,glance at/look at/see,目,17,5,3402,1551.0,qiao2,qiao
燃,rán,burn/light fire/ignite,火,16,5,3376,1553.0,ran2,ran
锁,suǒ,lock/padlock/shackles/chains,金,12,5,2660,1558.0,suo3,suo
劝,quàn,recommend/advise/urge,力,4,5,186,1562.0,quan4,quan
搜,sōu,search/seek/investigate,手,12,5,2528,1564.0,sou1,sou
勤,qín,industrious/diligent/attentive,力,13,5,2848,1565.0,qin2,qin
戒,jiè,warn/caution/admonish,戈,7,5,606,1566.0,jie4,jie
驾,jià,to drive/sail/fly/a cart/carriage,馬,8,5,1332,1567.0,jia4,jia
柔,róu,soft/gentle/pliant,木,9,5,1750,1573.0,rou2,rou
腐,fǔ,rot/decay/spoil/rotten,肉,14,5,3144,1576.0,fu3,fu
幼,yòu,infant/young child/immature,幺,5,5,346,1577.0,you4,you
践,jiàn,trample/tread upon/walk on,足,12,5,2628,1578.0,jian4,jian
浓,nóng,thick/strong/concentrated,水,9,5,1682,1585.0,nong2,nong
竹,zhú,bamboo/flute/KangXi radical 118,竹,6,5,450,1588.0,zhu2,zhu
逻,luó,patrol/inspect/watch/patrol,辵,11,5,2295,1591.0,luo2,luo
遵,zūn,obey/comply with/follow/honor,辵,15,5,3288,1593.0,zun1,zun
饰,shì,decorate/ornament/adorn,食,8,5,1201,1604.0,shi4,shi
贷,dài,lend/borrow/pardon,貝,9,5,1558,1605.0,dai4,dai
叙,xù,express/state/relate/narrate,又,9,5,1586,1607.0,xu4,xu
沟,gōu,ditch/drain/narrow waterway,水,7,5,868,1610.0,gou1,gou
扶,fú,support/help/protect/hold on,手,7,5,612,1612.0,fu2,fu
寿,shòu,old age/long life/lifespan,寸,7,5,599,1615.0,shou4,shou
询,xún,inquire into/ask about/consult,言,8,5,1299,1617.0,xun2,xun
匆,cōng,hastily/in haste/hurriedly,勹,5,5,289,1622.0,cong1,cong
奈,nài,but/how/bear/stand/endure,大,8,5,1048,1624.0,nai4,nai
慰,wèi,comfort/console/calm,心,15,5,3310,1632.0,wei4,wei
怨,yuàn,hatred/enmity/resentment,心,9,5,1608,1637.0,yuan4,yuan
躲,duǒ,hide/secrete/avoid/escape,身,13,5,2962,1644.0,duo3,duo
紫,zǐ,purple/violet/amethyst/surname,糸,12,5,2604,1646.0,zi3,zi
艰,jiān,difficult/hard/distressing,又,8,5,1335,1647.0,jian1,jian
慌,huāng,nervous/panicky/frantic,心,12,5,2771,1650.0,huang1,huang
吐,tǔ,vomit/spew out/cough up,口,6,5,421,1653.0,tu3,tu
咬,yǎo,bite/gnaw,口,9,5,1512,1658.0,yao3,yao
挤,jǐ,crowd/squeeze/push against,手,9,5,1392,1661.0,ji3,ji
